##neg_log10p-thresholds = [2.9547] at [0.05]
##col_1, permute, index of permutation
##col_2, loglike, log likelihood for th peak of scan profile obtained from the permuted phenotypes
##col_3, lod, LOD score for th peak of scan profile obtained from the permuted phenotypes
##col_4, neg_log10p, minus 10-based log of the P-value for the peak of scan profile obtained from the permuted phenotypes
peremute,loglike,lod,neg_log10p
permute53,-214.6623992993396,3.506357922085617,2.975614799432269
permute54,-219.80992448341436,1.2708161391839259,0.9243792605988811
permute55,-218.21952300154072,1.9615187267724028,1.539799020141096
permute56,-216.00506751767233,2.923244523836841,2.4274931355771954
permute57,-216.16628572920268,2.853228344186897,2.3620870920578514
permute58,-218.3399298082453,1.9092267150370126,1.4923666325323506
permute59,-217.30190016317727,2.3600372619420518,1.9045047633143535
permute60,-217.83050470109384,2.1304672280158634,1.693758760112753
permute61,-218.9504439682504,1.6440837842230005,1.253717475168391
permute62,-216.09686767799292,2.8833762207717757,2.3902378269020166
permute63,-217.90446727341822,2.0983456909880167,1.6644076084038504
permute64,-218.4857247715123,1.8459087670008636,1.4350842645300643
permute65,-217.80080712238657,2.1433647225743186,1.7055538571060465
permute66,-219.2683780779609,1.5060067547669045,1.1308564603321605
permute67,-217.3500736134007,2.339115798335775,1.8852321794804925
permute68,-217.42109771044838,2.308270424905805,1.8568410978205878
permute69,-218.39509900232864,1.8852670384755712,1.4706709030750766
permute70,-215.522688662135,3.1327389989835046,2.623754172663924
permute71,-217.74967452130124,2.165571329071037,1.7258755305546079
permute72,-219.13845141098778,1.5624331892854117,1.1809332519422513
permute73,-217.93322966898904,2.0858543413052897,1.6530033207541242
permute74,-215.9757802802469,2.9359638094408917,2.4393854057151714
permute75,-215.63594657705568,3.0835517115015914,2.5776018777282355
permute76,-217.32224280100826,2.351202566584695,1.8963648148962013
permute77,-219.48908761874725,1.4101538190999943,1.0462427433534203
permute78,-218.50494170415135,1.837562959196622,1.4275468188215634
permute79,-217.52937152599722,2.2612477042783325,1.8136145788636577
permute80,-216.76041147145625,2.5952028127695113,2.1219561708821555
permute81,-219.5089357135958,1.4015339010309742,1.0386632017173019
permute82,-216.8757448770232,2.5451141511526596,2.0755203125447053
permute83,-214.77767250648265,3.456295404312101,2.928343700267987
permute84,-219.27978790951482,1.5010515278835916,1.1264679692039197
permute85,-216.21471680068572,2.832194997089152,2.3424581277851027
permute86,-218.09031706404846,2.017632152454427,1.5908172534053768
permute87,-219.0882748497402,1.5842245929561172,1.2003221316919959
permute88,-217.49624468837845,2.2756345070590682,1.8268327885585316
permute89,-219.01934502209573,1.6141604367406517,1.2270009483849973
permute90,-217.57444905777965,2.241670780967407,1.7956380923860107
permute91,-220.06315636762943,1.1608389292273584,0.8292863838582908
permute92,-214.71613186493298,3.4830221653499085,2.95357572791265
permute93,-219.63379547073052,1.3473079974955875,0.9911012419736612
permute94,-217.9522773292446,2.0775820475631357,1.6454539644247477
permute95,-218.70331244359278,1.7514116416861416,1.3499231918521515
permute96,-218.96333267027688,1.638486292054002,1.2487162090300334
permute97,-217.47458984811,2.2850390846941475,1.8354768801398362
permute98,-219.91565859018635,1.224896400063869,0.8845478722827603
permute99,-216.36977161130386,2.7648555484451403,2.279677400645945
permute100,-217.69302073449018,2.190175756062007,1.7484106165002928
permute101,-219.14979595151584,1.5575063179343487,1.1765533382642703
permute102,-217.79490658587872,2.1459272930199598,1.7078980667530526
permute103,-215.2486777401907,3.2517404303651474,2.735584655459912
permute104,-216.40111031706257,2.751245321464141,2.2670003778059375
permute105,-218.71423482010215,1.7466681138388647,1.3456592096628708
permute106,-215.8855837390605,2.975135669564905,2.4760300208383237
permute107,-216.11689144568675,2.8746800089554334,2.3821157994110846
permute108,-218.03724375716843,2.0406815967687852,1.6118083093574378
permute109,-217.84294967980713,2.1250624424332902,1.688817628695013
permute110,-219.3608793869981,1.4658339466832195,1.0953222245506269
permute111,-216.83901204236773,2.5610670185482,2.090303054294473
permute112,-218.46866015565743,1.8533198355024358,1.441780054694411
permute113,-216.47882426201272,2.717494584005359,2.2355813844075927
permute114,-218.93231328278813,1.651957840872387,1.2607556174715235
permute115,-217.9595996346058,2.07440201074995,1.6425524880538653
permute116,-217.39557942092966,2.3193528772313923,1.8670385206340046
permute117,-217.58274206250383,2.238069174777298,1.792332223271459
permute118,-218.9479587476447,1.645163101818371,1.2546820183911587
permute119,-218.52059223350574,1.8307660206591463,1.4214104810788466
permute120,-215.62648254102695,3.087661890125403,2.5814568068007113
permute121,-217.67074056824964,2.1998519093161586,1.7572783884395742
permute122,-219.67939380852613,1.3275048910069935,0.9737847416423632
permute123,-215.86446337568805,2.9843081268333567,2.484614952396774
permute124,-218.43586866203634,1.867561000235441,1.4546533981521514
permute125,-218.67076455483397,1.765547010171695,1.3626358837326253
permute126,-216.31995295073398,2.7864915178264518,2.2998381328720496
permute127,-214.78457395955354,3.4532981413262847,2.9255147102081014
permute128,-219.19193892106944,1.5392038588062058,1.16029508490862
permute129,-218.16688172845667,1.9843805411931676,1.5605703231584505
permute130,-216.74881204561464,2.600240379405756,2.126629768288707
permute131,-217.8949465875911,2.102480472306666,1.66818376788897
permute132,-218.32465142762783,1.915862031431599,1.498379180795924
permute133,-218.60961343897557,1.792104602351222,1.3865458329732194
permute134,-215.2853652457346,3.2358072491526326,2.7205979021309434
permute135,-217.39994108539736,2.317458630421159,1.865295288082292
permute136,-218.84324894446792,1.6906379915392198,1.295376236713858
permute137,-218.20864042619814,1.9662449691925807,1.5440914165331159
permute138,-218.84578004812494,1.6895387471878507,1.294391302453939
permute139,-216.02810443895845,2.9132397160422268,2.4181410810063966
permute140,-217.86676555794227,2.114719337977507,1.6793646151439496
permute141,-219.94187535449038,1.2135106039932853,0.8746990865511827
permute142,-217.16661840961638,2.4187893810157415,1.9586928860380506
permute143,-219.68764973553095,1.3239193874657895,0.9706525808203426
permute144,-216.45413643915794,2.728216369241398,2.245559694885245
permute145,-217.85358335990162,2.1204442938459183,1.6845964460789618
permute146,-216.08521019777652,2.888439000102642,2.3949670288589497
permute147,-215.2104480971409,3.268343353386802,2.7512057607447864
permute148,-218.86873017438592,1.6795716339937241,1.2854634629007051
permute149,-219.95827323721582,1.2063890940107167,0.8685446257267365
permute150,-218.95448620266802,1.6423282641208665,1.2521487683161912
permute151,-215.05591634691666,3.3354556397880395,2.814394210042295
permute152,-218.48016475084066,1.84832345329783,1.4372656354678301
permute153,-217.36049864320705,2.3345882654171977,1.8810631432107527
permute154,-219.4269905985334,1.4371222123215184,1.069988619531157
permute155,-216.16554963982577,2.8535480237414785,2.3623854972014016
permute156,-220.01709497363936,1.1808431384660185,0.8465043553175523
permute157,-218.44527015861985,1.8634779821475915,1.4509616502746183
permute158,-214.07313460639128,3.7622723266134863,3.2177971131526344
permute159,-218.1590832396406,1.9877673818531685,1.563649191446394
permute160,-213.86696254215377,3.851811716434438,3.3027307289080325
permute161,-219.6205439206406,1.3530630725762975,0.9961390880165985
permute162,-218.8015561842513,1.7087449272366009,1.3116089709144845
permute163,-217.19143267702555,2.408012681607467,1.9487461303320104
permute164,-218.7437828901069,1.733835550084898,1.334129358730841
permute165,-218.54747823443364,1.8190895788157126,1.4108736584751438
permute166,-217.72951601801572,2.1743260558113833,1.733891661036639
permute167,-216.35093958087083,2.77303419534524,2.287297203731673
permute168,-217.5671281378534,2.244850216093836,1.7985567935160982
permute169,-217.3412177048807,2.3429618705382467,1.8887741825427489
permute170,-214.94087115222004,3.3854191330142664,2.861482095779352
permute171,-217.9735238832467,2.068354786400556,1.6370359787419342
permute172,-218.51171074650995,1.8346232014525135,1.4248925290542118
permute173,-218.9807044056153,1.6309418432554386,1.241978008709437
permute174,-217.01671341294065,2.4838922938817363,2.0188489580993365
permute175,-212.28470159274013,4.538978915695781,3.957479788698402
permute176,-218.09528033915024,2.0154766294655597,1.5888552382261485
permute177,-217.59832756700166,2.2313004761762096,1.7861204225479534
permute178,-215.2520606212268,3.2502712637982265,2.734202583730471
permute179,-216.74317475894452,2.6026886218994845,2.1289013445579266
permute180,-217.5072036849424,2.270875075324151,1.8224592476481976
permute181,-218.8113496654684,1.7044916723853965,1.307794486825456
permute182,-216.63863605698663,2.648089203305138,2.1710517758972188
permute183,-217.83876097818236,2.1268815724352423,1.690480591354977
permute184,-218.77280473213546,1.721231524237241,1.3228126077303992
permute185,-216.55249523602652,2.6854996865147305,2.205820455674671
permute186,-215.67912840427326,3.0647980822224965,2.5600167283830686
permute187,-218.26526099687564,1.9416549677851316,1.521768308391166
permute188,-218.42037677589582,1.874289040900544,1.4607382531298465
permute189,-217.6109252355152,2.225829378255935,1.7811005181363364
permute190,-214.41838503105726,3.6123319723062983,3.0757962038663047
permute191,-219.7448301597792,1.2990862447419087,0.9489860872442103
permute192,-218.23661593380177,1.9540953606118825,1.5330588584355083
permute193,-219.6829251258664,1.3259712593722626,0.9724449005976726
permute194,-217.22860888229397,2.3918672608012885,1.9338501320894155
permute195,-219.41275302890347,1.4433055102474968,1.0754398755994872
permute196,-218.96753450151343,1.6366614599340827,1.247086111724377
permute197,-217.91405816025022,2.09418042176032,1.6606042115809503
permute198,-219.07277638808387,1.5909554893314528,1.2063163675675923
permute199,-217.3589046105668,2.3352805449968157,1.881700568391618
permute200,-219.12901662446853,1.5665306650086575,1.1845769097245227
